structure,unit_cells,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
YARYEV_clean_pacmof,18,15.782856687008891,0.23276,0.00662,0.08357,0.00227,10.24116,0.29112,2.34119,0.06369,23.00042,0.65381,5.25803,0.14305,3.04134,0.08645,1.09201,0.02971
YASVOG_clean_pacmof,4,569.7655940997184,14.40535,0.13505,0.14327,0.00497,633.8181,5.94193,4.01355,0.13923,1324.68984,12.41872,8.38839,0.29099,455.18531,4.26728,4.52716,0.15705
YARYUL_clean_pacmof,12,6.511053689348263,0.09338,0.00182,0.08127,0.00199,4.10842,0.08017,2.27676,0.05562,8.37384,0.1634,4.64053,0.11336,1.47411,0.02877,1.28306,0.03134
YARKOT_clean_pacmof,9,82.32658912355882,4.74637,0.05235,0.3267,0.0033,208.8344,2.30329,9.15205,0.09244,402.11634,4.43506,17.62253,0.178,69.64713,0.76816,4.79395,0.04842
YARYIZ_clean_pacmof,18,21.65643447461629,0.3237,0.01189,0.0847,0.00264,14.24222,0.52305,2.37281,0.07409,31.78981,1.16749,5.29631,0.16538,8.45908,0.31066,2.21352,0.06912
YASLUA_clean_pacmof,16,168.90573770491804,2.47278,0.05642,0.08296,0.00219,108.7995,2.48243,2.32403,0.06135,371.59774,8.47857,7.93758,0.20952,77.20845,1.76163,2.59032,0.06837
YARZEZ03_clean_pacmof,8,6.998137069689338,0.15689,0.00496,0.12704,0.00059,6.90284,0.21833,3.55875,0.01647,11.19187,0.35398,5.76996,0.0267,3.11806,0.09862,2.52481,0.01168
YARKAF_clean_pacmof,8,42.35529037390612,0.78295,0.04019,0.10475,0.00395,34.44888,1.7682,2.9344,0.11058,91.59993,4.70165,7.8026,0.29403,18.77472,0.96367,2.51184,0.09466
YARSIV_clean_pacmof,27,121.43313373253493,0.60838,0.03286,0.02839,0.00142,26.7682,1.44601,0.79533,0.03991,94.01102,5.07845,2.79325,0.14016,28.93358,1.56298,1.35023,0.06775
YARZEZ_clean_pacmof,24,11.415157332443036,0.24135,0.00466,0.11981,0.00157,10.61925,0.20495,3.35638,0.0439,20.37164,0.39317,6.43878,0.08422,7.19518,0.13887,3.57185,0.04672
YAVTUN_clean_pacmof,12,81.0622380387505,2.41184,0.02207,0.1686,0.00289,106.11785,0.97088,4.72314,0.08084,204.85941,1.87428,9.11798,0.15606,52.14768,0.47711,3.64545,0.0624
YAXBEF_clean_pacmof,16,183.15341620892357,1.11799,0.01069,0.03459,0.00172,49.19008,0.47043,0.96906,0.04826,257.25967,2.46032,5.06807,0.25242,50.57451,0.48367,1.56486,0.07794
YATVUN_clean_pacmof,8,83.90867027570114,7.46723,0.10245,0.50429,0.01678,328.54902,4.50749,14.12683,0.46997,593.99212,8.14921,25.54026,0.84967,331.98956,4.55469,22.42037,0.74587
YAVWAW_clean_pacmof,9,676.5355058365758,4.90926,0.07997,0.04112,0.00222,216.00159,3.51863,1.1518,0.06213,632.33596,10.30066,3.37185,0.18189,82.03045,1.33626,0.68702,0.03706
YASVUM_clean_pacmof,12,329.6083154970627,12.77271,0.03595,0.21959,0.00526,561.984,1.58173,6.15137,0.14745,991.10689,2.78952,10.84847,0.26004,199.60684,0.5618,3.4316,0.08226
YATTUK_clean_pacmof,18,296.354267434421,6.81179,0.09918,0.13025,0.00492,299.71047,4.36361,3.64885,0.13774,744.53929,10.84005,9.06445,0.34216,179.52482,2.61378,3.43283,0.12958
YAVVEZ_clean_pacmof,12,88.16432167290566,2.41062,0.01813,0.15494,0.00367,106.06448,0.79784,4.34054,0.10284,223.55203,1.6816,9.14855,0.21675,55.72466,0.41917,3.58175,0.08486
YAWKOX_clean_pacmof,6,303.20115509741566,4.87922,0.07422,0.09119,0.0044,214.68002,3.2656,2.55458,0.12329,541.29874,8.23395,6.44118,0.31087,78.70537,1.19722,1.47098,0.07099
YAVVAV_clean_pacmof,12,38.596434637620185,1.45697,0.03991,0.21391,0.00544,64.1048,1.75621,5.99233,0.15247,137.15971,3.75761,12.8213,0.32622,34.07383,0.93348,5.00265,0.12728
YAWBAC_clean_pacmof,4,26.860554726281805,1.36548,0.0319,0.28807,0.00531,60.07927,1.40351,8.06989,0.1488,102.85543,2.40279,13.81562,0.25475,33.29032,0.77769,7.0232,0.1295
YATWAU_clean_pacmof,8,94.87161409223383,7.81251,0.15323,0.46664,0.01085,343.74085,6.74206,13.07212,0.30389,635.14524,12.45761,24.15394,0.56151,347.22047,6.81031,20.73929,0.48213
YAVZAX_clean_pacmof,27,10.524116704612528,0.29366,0.00326,0.15812,0.00145,12.92086,0.1433,4.42936,0.0407,39.01156,0.43266,13.37344,0.1229,9.55733,0.106,5.14589,0.04729
YATDUV_clean_pacmof,8,6.657930559145342,0.22729,0.00385,0.19345,0.00212,10.00055,0.16944,5.41913,0.05927,17.80303,0.30164,9.64716,0.10552,7.88989,0.13368,6.71506,0.07345
YAVZUT_clean_pacmof,4,32.040202649335406,1.67035,0.05422,0.29542,0.00639,73.49356,2.38554,8.27563,0.17911,125.59076,4.07657,14.14196,0.30608,40.72838,1.32201,7.20316,0.1559
YAVVUP_clean_pacmof,9,694.8207399687337,4.70598,0.07242,0.03838,0.00299,207.05732,3.18655,1.07516,0.08388,616.76555,9.49184,3.20259,0.24986,78.22203,1.20381,0.63795,0.04977
YAWFOS_clean_pacmof,9,11.29106408890242,0.13089,0.00146,0.06569,0.00202,5.75883,0.06402,1.8401,0.05669,15.99048,0.17776,5.1094,0.1574,5.33315,0.05929,2.67649,0.08245
YAVSOG_clean_pacmof,16,6727.577235772356,3.40732,0.01622,0.00287,0.00077,149.91783,0.7136,0.08036,0.02152,476.07317,2.26607,0.25518,0.06834,191.60959,0.91205,0.16131,0.0432
YAVVOJ_clean_pacmof,9,712.0308182784272,4.72956,0.12613,0.03764,0.00201,208.09515,5.54969,1.05431,0.05631,619.36646,16.5179,3.13801,0.16761,78.0054,2.08033,0.62073,0.03315
YAVVID_clean_pacmof,9,645.5486012328117,4.80516,0.03024,0.04218,0.00085,211.42135,1.33069,1.18152,0.02381,614.5928,3.86825,3.43463,0.06923,78.96249,0.49699,0.69309,0.01397
YAVWUQ_clean_pacmof,1,16.806444722142118,0.92561,0.02797,0.31209,0.01007,40.72583,1.23077,8.74285,0.28212,60.90831,1.8407,13.07554,0.42194,11.89296,0.35942,4.01002,0.1294
YEDKUO_clean_pacmof,9,25.94988504137343,1.30792,0.02426,0.28561,0.00439,57.54669,1.06723,8.00088,0.12293,95.23832,1.76623,13.24125,0.20344,20.44515,0.37916,4.46459,0.0686
YEFNEC_clean_pacmof,27,3.9854557103956423,0.07318,0.00088,0.10405,0.00134,3.21982,0.03891,2.91494,0.03766,6.63345,0.08017,6.00533,0.07759,2.53629,0.03065,3.60636,0.04659
YAYLER_clean_pacmof,27,1266.2836363636363,1.84356,0.02621,0.00825,0.00066,81.11446,1.15307,0.23099,0.0185,634.80796,9.02402,1.80773,0.14481,184.57202,2.62376,0.82553,0.06613
YAZYIJ_clean_pacmof,24,593.9672477548864,0.6614,0.02107,0.00631,0.0004,29.10063,0.92711,0.17689,0.01109,129.12359,4.11374,0.78486,0.04922,27.62492,0.8801,0.26373,0.01654
YAZYUU_clean_pacmof,8,107.87285813907151,2.54783,0.02471,0.13384,0.00285,112.10135,1.08734,3.74942,0.07986,319.77496,3.10169,10.69543,0.2278,221.50755,2.14854,11.63633,0.24784
YAYLIV_clean_pacmof,18,1161.057893166219,2.28865,0.05153,0.01117,0.00049,100.69781,2.26747,0.31281,0.01369,724.71728,16.31885,2.25129,0.09853,172.47314,3.88367,0.84151,0.03683
YAZYEF_clean_pacmof,24,583.5612780162137,0.71984,0.01173,0.00699,0.00067,31.67216,0.51605,0.19574,0.01864,138.05742,2.24944,0.85321,0.08127,29.92769,0.48763,0.2905,0.02767
YAYRAT_clean_pacmof,8,17.522476692476896,1.51354,0.02329,0.48947,0.0023,66.594,1.02484,13.71162,0.0644,114.99772,1.76974,23.67789,0.1112,75.38431,1.16012,24.37859,0.11449
YAZZEG_clean_pacmof,24,6114.221857923496,3.29089,0.1152,0.00305,0.00079,144.79537,5.06884,0.08532,0.02215,596.99767,20.89904,0.35177,0.09133,128.62555,4.50278,0.11904,0.03091
YEBLAT_clean_pacmof,27,14.694354315379625,0.1998,0.00481,0.07705,0.00088,8.79075,0.21149,2.15839,0.02472,28.23746,0.67934,6.93312,0.07941,7.74541,0.18634,2.9869,0.03421
YEBKOG_clean_pacmof,24,273.88840206185563,1.87533,0.04265,0.0388,0.00146,82.51238,1.87676,1.08694,0.04085,308.39474,7.0145,4.06252,0.15268,57.6599,1.31149,1.19299,0.04483
YEDLAV_clean_pacmof,18,93.14425101422482,3.20082,0.06543,0.19473,0.0046,140.8323,2.87864,5.45519,0.12889,354.56941,7.24746,13.73437,0.32451,93.09604,1.9029,5.66386,0.13382
YEBKUM_clean_pacmof,6,369.10810390418413,1.39588,0.04663,0.02143,0.00063,61.41703,2.05171,0.60042,0.01757,249.18118,8.32422,2.43601,0.07127,46.77773,1.56267,0.71825,0.02101
YAYPOF_clean_pacmof,12,3452.6828859060397,3.63141,0.0612,0.00596,0.00152,159.77787,2.69268,0.16709,0.04257,767.79227,12.93933,0.80291,0.20454,209.37254,3.52848,0.34389,0.08761
