structure,unit_cells,selectivity_(n_co2/n_n2)/(p_co2/p_n2),loading_mol_kg_co2_avg,loading_mol_kg_co2_err,loading_mol_kg_n2_avg,loading_mol_kg_n2_err,loading_mg_g_co2_avg,loading_mg_g_co2_err,loading_mg_g_n2_avg,loading_mg_g_n2_err,loading_g_L_co2_avg,loading_g_L_co2_err,loading_g_L_n2_avg,loading_g_L_n2_err,loading_num_molecules_co2_avg,loading_num_molecules_co2_err,loading_num_molecules_n2_avg,loading_num_molecules_n2_err
RUVBOB_clean_pacmof,12,34.10803050273019,1.27869,0.02569,0.21244,0.00419,56.261,1.13016,5.95132,0.11731,155.02176,3.11405,16.39827,0.32322,56.2481,1.1299,9.34517,0.1842
RUSWUZ_clean_pacmof,27,181.48481848184818,4.85205,0.05718,0.1515,0.00424,213.48419,2.51599,4.24397,0.11883,516.7376,6.08994,10.27251,0.28762,141.64129,1.66929,4.42253,0.12383
RUSWIN_clean_pacmof,27,184.9154874213836,4.70425,0.0352,0.14416,0.01007,206.9815,1.54889,4.03851,0.2822,527.15511,3.94481,10.28555,0.71874,141.9655,1.06236,4.35057,0.30401
RUVCES_clean_pacmof,12,26.171601346340346,0.53972,0.01173,0.11686,0.00229,23.7472,0.51599,3.27355,0.06407,57.8704,1.25743,7.97742,0.15614,11.68477,0.25389,2.52988,0.04952
RUWWOW01_clean_pacmof,27,411.92062855232365,3.62369,0.08076,0.04985,0.00587,159.43801,3.55323,1.3964,0.16442,474.16325,10.56719,4.15284,0.48897,85.731,1.9106,1.17931,0.13886
RUVRUX_clean_pacmof,4,41.286531986531976,0.28852,0.01021,0.0396,0.00059,12.69441,0.44935,1.10944,0.01645,45.5467,1.61225,3.98058,0.05902,10.38369,0.36756,1.42533,0.02113
RUVKOJ_clean_pacmof,18,1013.9842926063053,5.31626,0.07752,0.02971,0.00392,233.90915,3.41078,0.83224,0.10989,777.77984,11.3413,2.76732,0.36541,123.65336,1.80307,0.69101,0.09124
RUSXAG_clean_pacmof,27,193.84197230761893,4.78459,0.05449,0.13987,0.00364,210.51619,2.39751,3.91814,0.10192,533.53129,6.07623,9.9301,0.2583,143.03346,1.62897,4.18124,0.10876
RUWXAJ_clean_pacmof,27,150.53818984547462,2.0057,0.02046,0.0755,0.00296,88.24818,0.90012,2.11495,0.08299,270.45937,2.75866,6.4818,0.25435,49.40286,0.5039,1.8596,0.07297
RUWXEN_clean_pacmof,27,399.92988133764834,3.70735,0.06655,0.05253,0.00487,163.11884,2.92832,1.47144,0.13641,478.92229,8.59765,4.32021,0.40051,87.7102,1.57458,1.24269,0.1152
RUWWOW_clean_pacmof,27,406.79432624113474,3.61018,0.06478,0.05029,0.00309,158.84345,2.85038,1.40893,0.08669,472.00243,8.46989,4.18662,0.2576,85.4113,1.53267,1.1899,0.07321
RUWZOA_clean_pacmof,6,48.70361279765749,1.33064,0.06752,0.15482,0.00251,58.54671,2.97096,4.33703,0.07044,125.10275,6.34836,9.26739,0.15052,39.5582,2.00739,4.60257,0.07475
RUTBUE_clean_pacmof,27,186.71669773051198,3.00537,0.04102,0.09121,0.00506,132.23281,1.80463,2.555,0.14174,488.81561,6.67105,9.44489,0.52396,141.58128,1.93221,4.29666,0.23836
RUVMUR_clean_pacmof,12,262.8390775890776,1.85719,0.02858,0.04004,0.00183,81.71398,1.25746,1.12156,0.05129,242.25732,3.72799,3.32508,0.15207,54.17722,0.83371,1.16793,0.05341
RUVMAX_clean_pacmof,8,112.58189804076395,4.02573,0.06861,0.20263,0.00456,177.12724,3.01861,5.67628,0.1278,425.38876,7.24949,13.63216,0.30693,57.30519,0.9766,2.88434,0.06494
RUWWUC_clean_pacmof,27,178.0266580441187,2.91482,0.0717,0.09278,0.00339,128.24848,3.15474,2.59897,0.09499,397.56253,9.77952,8.05664,0.29445,71.79572,1.76608,2.28518,0.08352
RUVKAV_clean_pacmof,8,6.929335912314635,0.3161,0.01173,0.2585,0.00326,13.90789,0.51625,7.24149,0.0913,16.7363,0.62123,8.71417,0.10987,3.80342,0.14118,3.11039,0.03922
RUWZIU_clean_pacmof,6,43.74949037372593,1.02258,0.04004,0.13245,0.00279,44.99216,1.7619,3.71036,0.0782,91.04724,3.56543,7.50838,0.15824,29.22072,1.14429,3.78481,0.07977
RUSWOT_clean_pacmof,27,186.86960108814412,4.92973,0.07943,0.14949,0.00435,216.90224,3.49463,4.18771,0.12196,520.07092,8.37914,10.04096,0.29242,143.02208,2.3043,4.337,0.1263
RUSXEK_clean_pacmof,27,178.8446758645087,4.75811,0.05564,0.15076,0.00737,209.3511,2.44791,4.22341,0.20652,520.93946,6.09128,10.50933,0.51389,142.67222,1.66825,4.52065,0.22105
RUYQIN01_clean_pacmof,8,55.23425778939832,2.08766,0.04032,0.21418,0.00477,91.85447,1.77415,6.00002,0.13367,211.4474,4.08406,13.81193,0.3077,77.14493,1.49004,7.91468,0.17632
S2052520616005515_bm5080sup1_clean_pacmof,12,31.86783629970638,1.55142,0.00802,0.27587,0.00573,68.2608,0.35292,7.72813,0.16048,157.55842,0.81461,17.83793,0.37042,39.02961,0.20179,6.94018,0.14412
RUZDAS_clean_pacmof,30,4762.7885021097045,5.31191,0.04764,0.00632,0.00161,233.7178,2.09609,0.17717,0.04505,679.01115,6.08968,0.51472,0.13087,114.05272,1.02288,0.13579,0.03453
RUYKAZ_clean_pacmof,8,353.44536769428385,5.17943,0.04746,0.08304,0.00137,227.88881,2.08839,2.32614,0.03828,494.13052,4.52825,5.04376,0.083,257.20448,2.35704,4.12349,0.06786
RUYQOT_clean_pacmof,8,66.72700006628222,2.36873,0.02161,0.20116,0.00112,104.22121,0.95064,5.63519,0.03151,243.12726,2.21766,13.14577,0.07351,87.53126,0.79841,7.43343,0.04157
RUYQIN03_clean_pacmof,8,47.46314102564103,1.77702,0.05679,0.21216,0.00413,78.18693,2.49881,5.94335,0.11575,178.42586,5.70239,13.56298,0.26415,65.6661,2.09865,7.83993,0.15269
RUYVAK_clean_pacmof,8,64.42972072528518,2.46853,0.05644,0.21711,0.0035,108.61218,2.48338,6.08205,0.09804,250.67918,5.73169,14.0375,0.22627,91.43412,2.09061,8.04181,0.12962
RUYGEZ_clean_pacmof,27,18281.95189003436,3.12944,0.03958,0.00097,0.0024,137.69168,1.74158,0.02726,0.06711,1086.15656,13.73816,0.215,0.5294,212.42363,2.68682,0.06604,0.16262
RUYVIS_clean_pacmof,2,6.433434804667681,0.22377,0.01343,0.1971,0.01355,9.84555,0.59094,5.52147,0.37954,13.37141,0.80256,7.49881,0.51546,2.65612,0.15942,2.33957,0.16082
RUYQIN02_clean_pacmof,8,56.23660714285714,2.06739,0.03588,0.20832,0.00492,90.96272,1.57856,5.83575,0.13779,208.12964,3.61186,13.35263,0.31528,76.39598,1.32577,7.69799,0.18176
RUZCOF_clean_pacmof,12,26.500954198473277,0.83319,0.03015,0.17816,0.00334,36.65953,1.32649,4.99099,0.09348,117.20684,4.241,15.95707,0.29887,20.63999,0.74684,4.4135,0.08266
RUWZUG_clean_pacmof,6,61.60778389508079,1.61927,0.0151,0.14894,0.00238,71.24575,0.66452,4.17225,0.0667,156.97293,1.46412,9.19256,0.14695,50.31904,0.46934,4.62826,0.07399
RUYNIK_clean_pacmof,18,65.41961590176827,1.51685,0.02422,0.13139,0.00323,66.73966,1.0658,3.68064,0.09039,180.79858,2.88727,9.97091,0.24487,51.55934,0.82338,4.46602,0.10968
RUYNEG_clean_pacmof,8,688.7699287103045,5.62644,0.05608,0.04629,0.00229,247.55657,2.4675,1.29685,0.06408,740.17669,7.37766,3.8775,0.19161,346.24656,3.45119,2.84889,0.14078
RUYVEO_clean_pacmof,8,63.097255013063865,2.35813,0.01187,0.21178,0.00458,103.7547,0.52209,5.93263,0.12837,199.78738,1.00533,11.42372,0.24718,97.51044,0.49067,8.75718,0.18948
RUXKUS_clean_pacmof,8,73.73669900512883,2.10579,0.06031,0.16183,0.00408,92.65241,2.65335,4.53337,0.11434,200.47233,5.74106,9.80888,0.24739,63.99781,1.83275,4.91817,0.12404
RUYZUH_clean_pacmof,12,2109.4166666666665,3.64805,0.06098,0.0098,0.00124,160.50976,2.68296,0.27442,0.03465,760.11639,12.70554,1.29955,0.16407,209.93936,3.50919,0.56374,0.07117
RUYTUC_clean_pacmof,8,65.21843621399177,2.3306,0.03632,0.2025,0.003,102.54375,1.59788,5.67285,0.08414,238.93696,3.72323,13.21829,0.19606,86.12243,1.342,7.48311,0.11099
RUYTIQ_clean_pacmof,8,27.408878067053756,1.03296,0.03324,0.21356,0.00455,45.44907,1.46266,5.98269,0.12749,103.3016,3.3245,13.5981,0.28977,38.17087,1.22843,7.89182,0.16817
RUYQIN_clean_pacmof,8,65.94012141280353,2.38967,0.02978,0.20536,0.0049,105.14256,1.31021,5.75281,0.13733,244.54017,3.04729,13.37985,0.3194,88.30507,1.1004,7.58858,0.18115
SABYIG_clean_pacmof,27,594.9669003115265,1.7975,0.01862,0.01712,0.00225,79.08797,0.81915,0.47963,0.06302,273.60136,2.83383,1.65926,0.21801,58.27394,0.60357,0.55507,0.07293
SABZON_clean_pacmof,27,851.1464063886423,1.69278,0.00924,0.01127,0.00237,74.48023,0.40637,0.31567,0.0663,263.91304,1.43993,1.11856,0.23491,55.50866,0.30286,0.36952,0.0776
SACDOR_clean_pacmof,2,15.156022963979067,0.52644,0.01085,0.19683,0.0032,23.16285,0.47756,5.51398,0.08974,57.40691,1.18359,13.66587,0.2224,13.32756,0.27478,4.98308,0.0811
SABXEB_clean_pacmof,27,683.5307692307692,1.72491,0.02412,0.0143,0.00358,75.89407,1.06121,0.40063,0.10023,269.79053,3.77241,1.42417,0.35629,56.71839,0.79308,0.47025,0.11765
SABXOL_clean_pacmof,27,803.6822033898305,1.67355,0.01255,0.0118,0.00275,73.63434,0.55216,0.33054,0.07713,267.43214,2.00538,1.20047,0.28014,55.78286,0.4183,0.39329,0.09178
SABKIS_clean_pacmof,8,335.12949236298294,5.26587,0.12258,0.08904,0.00353,231.69188,5.39329,2.49427,0.09878,641.276,14.92752,6.90363,0.27341,198.84794,4.62875,3.36223,0.13316
SABYUS_clean_pacmof,27,261.28174723826896,1.51651,0.00867,0.03289,0.00261,66.72481,0.38132,0.92136,0.07306,232.79312,1.33039,3.21448,0.25489,49.29581,0.28172,1.06912,0.08478
SABVUN_clean_h_min_pacmof,12,33.243721398162116,3.18776,0.07056,0.54338,0.00545,140.25769,3.10442,15.22209,0.15265,274.61654,6.07828,29.80399,0.29888,127.37072,2.81919,21.71156,0.21773
SABYAY_clean_pacmof,27,552.8351254480286,1.8146,0.03046,0.0186,0.00268,79.84014,1.34003,0.52099,0.07521,272.91689,4.58061,1.78088,0.25709,58.22847,0.9773,0.59678,0.08615
SACDUX_clean_pacmof,2,15.578101490904116,0.53596,0.01434,0.19496,0.00321,23.58158,0.63097,5.46147,0.08992,57.88634,1.54887,13.40641,0.22073,13.56849,0.36305,4.93562,0.08126
SABFUX_clean_pacmof,12,5.42659576540252,0.16388,0.0038,0.17113,0.00196,7.2107,0.1673,4.79392,0.0548,10.25845,0.23801,6.82017,0.07796,2.10092,0.04874,2.1938,0.02508
SADLEQ_clean_pacmof,18,93.70731056144484,3.50989,0.10061,0.21225,0.00666,154.43096,4.42652,5.94579,0.18643,464.84811,13.32412,17.89726,0.56117,88.79217,2.54508,5.36938,0.16836
SABZED_clean_pacmof,27,713.0479334800684,1.71509,0.01256,0.01363,0.00131,75.46169,0.5526,0.38177,0.03657,272.15891,1.99299,1.37689,0.13188,56.9514,0.41705,0.45254,0.04335
SABWEA_clean_pacmof,27,632.8986390412349,1.8328,0.03188,0.01641,0.00268,80.64082,1.4026,0.4597,0.07505,272.09942,4.73268,1.55111,0.25324,58.48265,1.0172,0.52362,0.08549
SABWUQ_clean_pacmof,27,755.4223454833598,1.68237,0.01125,0.01262,0.00125,74.02213,0.49483,0.35342,0.03501,265.36565,1.77394,1.267,0.12551,55.6442,0.37198,0.41728,0.04134
SADMIV_clean_pacmof,48,6739.555555555556,1.39152,0.09962,0.00117,0.00013,61.22503,4.38335,0.03278,0.00374,191.86653,13.73652,0.10274,0.01173,31.52084,2.25671,0.02651,0.00303
S2056989016007027_zl2661sup1_clean_pacmof,18,15.616884517492771,0.8518,0.00595,0.30908,0.00376,37.47796,0.26192,8.65843,0.10535,85.69203,0.59887,19.79718,0.24089,16.71265,0.1168,6.06432,0.07379
SABWAU01_clean_pacmof,20,,0.001,0.00024,0.0,0.0,0.0439,0.01035,9e-05,0.00013,0.12852,0.03031,0.00027,0.00038,0.03322,0.00783,0.00011,0.00015
SABVOH01_clean_pacmof,24,34.07777693637752,3.17657,0.05824,0.52822,0.00943,139.7652,2.56229,14.79741,0.26408,281.19596,5.15511,29.77115,0.53131,63.46174,1.16343,10.55291,0.18833
SADLIU_clean_pacmof,18,16.043696326766252,0.78465,0.00667,0.27714,0.00213,34.52387,0.2933,7.76356,0.05979,115.42395,0.9806,25.95598,0.19989,21.47703,0.18246,7.58559,0.05842
SAKDEP_clean_pacmof,8,62.90530130636324,2.19521,0.06778,0.19775,0.0043,96.58643,2.98217,5.5396,0.12048,222.77275,6.87826,12.77687,0.27788,63.26113,1.95323,5.69866,0.12394
SAJHUJ_clean_pacmof,12,193.98569768481272,3.82962,0.04113,0.11187,0.00327,168.49874,1.80975,3.13375,0.09161,488.33768,5.24497,9.08215,0.26552,204.13133,2.19246,5.96282,0.17432
SAKDEQ_clean_pacmof,8,4754.191292875989,6.35943,0.07805,0.00758,0.00125,279.80742,3.43427,0.21241,0.03498,928.66452,11.39814,0.70496,0.11609,393.59782,4.8309,0.46928,0.07728
SAJRAW11_clean_pacmof,27,4.057850719989939,0.07592,0.00109,0.10602,0.00202,3.34045,0.04814,2.96988,0.05664,6.95325,0.1002,6.1819,0.11791,2.6313,0.03792,3.67434,0.07008
SAJLOH_clean_pacmof,48,1033.5495452369555,3.81015,0.01441,0.02089,0.00052,167.64216,0.63412,0.58512,0.01454,503.40972,1.90419,1.75705,0.04367,113.17508,0.42809,0.62042,0.01542
SAJRAW_clean_pacmof,27,4.0356177156177155,0.07638,0.00061,0.10725,0.00148,3.36044,0.02699,3.00447,0.04133,7.04683,0.0566,6.30036,0.08667,2.64705,0.02126,3.71713,0.05113
SAHBAF_clean_pacmof,12,19.271761340416838,0.08322,0.00327,0.02447,0.00126,3.66174,0.14375,0.68558,0.0353,11.40599,0.44776,2.13551,0.10994,2.9931,0.1175,0.88017,0.04531
SAJLEX_clean_pacmof,8,5546.164958516349,6.68476,0.07618,0.00683,0.00103,294.12145,3.35188,0.1914,0.02895,947.9853,10.80347,0.61692,0.09332,404.88986,4.61422,0.41384,0.0626
SAJRUT_clean_pacmof,8,62.89236317396787,3.54946,0.09983,0.31981,0.00847,156.17182,4.39245,8.9591,0.2374,259.91508,7.3103,14.91053,0.39511,99.47701,2.79786,8.9631,0.23751
SADVEB_clean_pacmof,27,302.14869500372856,1.19171,0.01077,0.02235,0.00109,52.4336,0.47367,0.62597,0.03056,272.9877,2.46609,3.25904,0.15909,107.37428,0.96999,2.01336,0.09828
SAJLAT_clean_pacmof,8,3022.5748355263154,6.48609,0.20893,0.01216,0.00128,285.38008,9.19263,0.34064,0.03583,891.66312,28.72214,1.06433,0.11194,385.23501,12.40914,0.72223,0.07596
SAKDAM01_clean_pacmof,8,312.9880512441488,2.98922,0.06139,0.05412,0.00339,131.5219,2.70099,1.51621,0.09496,428.02347,8.79007,4.93435,0.30905,181.97464,3.73711,3.29493,0.20637
SAJJOF_clean_pacmof,12,62.10116721864572,2.94502,0.09819,0.26873,0.0036,129.57751,4.32022,7.5281,0.10088,283.70139,9.45884,16.48227,0.22088,107.45002,3.58247,9.80473,0.13139
SAKDAM_clean_pacmof,8,269.4680044593088,2.84368,0.11185,0.0598,0.00466,125.11846,4.92132,1.6752,0.1305,406.82662,16.00181,5.44698,0.42433,173.1148,6.80917,3.64044,0.2836
SAJRAW10_clean_pacmof,27,4.023671818210549,0.07489,0.00112,0.10547,0.00178,3.29501,0.04946,2.95463,0.04989,6.8349,0.10259,6.12885,0.10349,2.59551,0.03896,3.65547,0.06173
SAHXAD_clean_pacmof,18,47.984308559065155,2.63527,0.04889,0.31121,0.0046,115.94873,2.1509,8.71816,0.12885,206.09898,3.82323,15.49654,0.22902,62.47096,1.15886,7.37753,0.10903
SAJSAA_clean_pacmof,12,76.90731611122065,3.44115,0.05665,0.25355,0.00628,151.40636,2.49269,7.10272,0.17585,330.17076,5.43579,15.48885,0.38348,137.60653,2.26549,10.13896,0.25103
SAJKUM_clean_pacmof,8,2017.0956881275838,6.02637,0.12531,0.01693,0.0018,265.15288,5.51366,0.4743,0.05055,810.20165,16.84756,1.44928,0.15446,354.07495,7.36274,0.99478,0.10602
SAHBEJ_clean_pacmof,12,16.714870575805598,0.07445,0.00103,0.02524,0.00064,3.2755,0.04515,0.70714,0.01792,10.12225,0.13953,2.18527,0.05537,2.67739,0.03691,0.90785,0.023
SAJDIT_clean_pacmof,3,46.84748141767952,1.72768,0.06454,0.20898,0.00754,76.01576,2.83957,5.85426,0.21123,180.74089,6.75159,13.91953,0.50223,30.12359,1.12527,3.64375,0.13147
SAKFAO_clean_pacmof,8,8036.784552845528,6.97782,0.07833,0.00492,0.00103,307.01581,3.44636,0.13769,0.02872,989.30575,11.1053,0.44368,0.09254,422.64033,4.74429,0.2977,0.06209
SALZAH_clean_pacmof,12,957.418451664661,7.02013,0.0643,0.04155,0.00401,308.87721,2.82923,1.16402,0.11243,826.26412,7.56834,3.11382,0.30076,284.98069,2.61034,1.6868,0.16293
SALROO_clean_pacmof,12,23.95855341422793,1.18468,0.04447,0.2802,0.00772,52.12454,1.95671,7.84944,0.21625,150.5224,5.65049,22.66719,0.62447,57.02425,2.14064,13.48745,0.37157
SALLAT_clean_pacmof,48,388.7152,2.57238,0.02562,0.0375,0.00248,113.18168,1.12722,1.05053,0.06936,337.26486,3.35897,3.13044,0.20669,81.14014,0.80811,1.18289,0.0781
SANGEW_clean_pacmof,12,168.04193540415645,4.00009,0.0304,0.13489,0.00638,175.99936,1.33747,3.77875,0.17861,510.84299,3.88205,10.96791,0.51843,160.25774,1.21785,5.40417,0.25544
SAMYAJ_clean_pacmof,8,103.96430080270385,1.15804,0.0728,0.06312,0.00717,50.95247,3.20324,1.76833,0.20089,205.93682,12.94669,7.14713,0.81193,64.81461,4.07472,3.53301,0.40136
SAKNOJ_clean_pacmof,1,20.42541414141414,1.18948,0.02724,0.33,0.00765,52.33572,1.19858,9.2445,0.21434,86.59902,1.98328,15.29671,0.35467,13.77292,0.31543,3.82107,0.0886
SANGOG_clean_pacmof,12,265.43284909576045,4.73985,0.08024,0.10119,0.01321,208.54765,3.53043,2.83456,0.36992,637.80298,10.79714,8.66897,1.13133,197.2367,3.33895,4.21058,0.54949
SALXEL_clean_pacmof,8,63.93856029344337,1.3945,0.05568,0.12359,0.00401,61.35634,2.45003,3.46222,0.11247,117.13281,4.67724,6.60957,0.21471,85.91773,3.43079,7.61467,0.24736
SANGIA_clean_pacmof,12,649.5443384365062,5.16617,0.04522,0.04507,0.00546,227.30537,1.98956,1.26244,0.15306,685.56448,6.00061,3.80758,0.46163,213.32455,1.86719,1.86087,0.22561
SALXIP_clean_pacmof,8,101.62932214214031,1.96581,0.03849,0.10961,0.00807,86.49349,1.6936,3.07053,0.22598,184.29151,3.60855,6.54238,0.4815,148.7979,2.91356,8.29661,0.6106
SAMXUC_clean_pacmof,8,129.79953876175267,1.2912,0.03221,0.05637,0.00302,56.81144,1.41742,1.5792,0.0846,227.70011,5.681,6.32945,0.33908,72.00247,1.79643,3.14357,0.16841
SAMYEN_clean_pacmof,8,111.36892618185807,1.19453,0.01828,0.06078,0.00307,52.55794,0.8044,1.70262,0.08612,216.46288,3.31297,7.01233,0.35468,67.66509,1.03562,3.44284,0.17414
SAKRAZ_clean_pacmof,18,15.663403331270999,0.7595,0.01534,0.27477,0.00527,33.41726,0.67488,7.69713,0.14753,69.29071,1.39937,15.96,0.30589,20.94178,0.42293,7.57609,0.14521
SALRON_clean_pacmof,48,215.721594430935,2.66137,0.09139,0.06991,0.00162,117.09704,4.02087,1.95847,0.04541,295.23693,10.13781,4.9379,0.11449,69.26322,2.37835,1.81948,0.04219
SAMVEK_clean_pacmof,12,10.342728635682159,0.48696,0.0043,0.2668,0.00441,21.42566,0.18925,7.47409,0.12343,42.02486,0.37119,14.65988,0.2421,11.62047,0.10264,6.36681,0.10515
SAMVIO_clean_pacmof,8,64.86997705912825,3.09384,0.028,0.27026,0.00296,136.12545,1.23176,7.57104,0.08281,282.28944,2.55436,15.7004,0.17172,52.68684,0.47675,4.60248,0.05034
SALRUU_clean_pacmof,12,40.53122367946095,0.59445,0.01456,0.08311,0.00146,26.15515,0.64055,2.32833,0.04098,98.98055,2.42407,8.81124,0.1551,18.15228,0.44456,2.538,0.04467
SAMYIR_clean_pacmof,8,141.9389086595492,1.26693,0.02777,0.05058,0.00251,55.74336,1.22198,1.41688,0.07018,232.88797,5.10527,5.91952,0.2932,72.03775,1.57918,2.8759,0.14245
SAKRED_clean_pacmof,18,14.683114704087858,0.6795,0.01648,0.26224,0.00546,29.89698,0.72502,7.34627,0.15283,61.72255,1.49681,15.16644,0.31551,18.73571,0.45435,7.23075,0.15042
SANHUN_clean_pacmof,12,135.20386309725515,3.52047,0.06839,0.14755,0.00662,154.89627,3.00889,4.13352,0.18546,495.35901,9.62245,13.219,0.59311,149.08773,2.89606,6.24877,0.28037
SAPHOI_clean_pacmof,2,395.9155703730402,7.75389,0.20496,0.11098,0.0052,341.16204,9.01801,3.10896,0.14568,766.16921,20.25232,6.98198,0.32717,197.7426,5.22697,2.83027,0.13262
SANHIB_clean_pacmof,12,90.92696677056189,3.14035,0.04534,0.19571,0.00911,138.17167,1.99504,5.48265,0.25508,439.76088,6.34963,17.44969,0.81184,131.17995,1.89409,8.17546,0.38036
SANHOH_clean_pacmof,12,160.78829707036834,3.63845,0.08157,0.12823,0.00725,160.08726,3.58895,3.59229,0.20302,492.18681,11.03419,11.04446,0.62418,151.82694,3.40376,5.35103,0.30241
SAQQAD_clean_pacmof,8,43.938018754878364,2.35102,0.04565,0.30321,0.00613,103.44225,2.00873,8.4941,0.17173,186.08425,3.61354,15.2802,0.30893,39.06432,0.75858,5.03818,0.10186
SARGOJ_clean_pacmof,16,54.879039565086075,1.92393,0.05021,0.19866,0.00368,84.65044,2.20903,5.56519,0.10313,191.48124,4.99687,12.58858,0.23329,84.71715,2.21077,8.74774,0.16211
SANJAV_clean_pacmof,12,107.31354925098334,3.77144,0.08494,0.19915,0.00654,165.93901,3.73723,5.5788,0.18313,440.82464,9.92812,14.82033,0.48649,132.19123,2.97717,6.98021,0.22913
SAQQOR_clean_h_pacmof,8,22.15864096135558,1.35693,0.04834,0.34701,0.00938,59.70333,2.12706,9.72104,0.26286,92.9322,3.31091,15.13145,0.40916,19.50624,0.69495,4.9884,0.13489
SANHEX_clean_pacmof,12,143.64524060414467,4.08958,0.06987,0.16133,0.00366,179.93665,3.07429,4.51929,0.10244,572.07639,9.77417,14.36827,0.3257,175.28519,2.99482,6.91464,0.15674
SAPJEZ_clean_pacmof,18,641.76512455516,6.3648,0.09098,0.0562,0.00311,280.04352,4.00287,1.57427,0.0871,833.2861,11.91079,4.68434,0.25918,251.48879,3.59472,2.22048,0.12286
SAPBAP_clean_pacmof,100,,0.0,1e-05,0.0,0.0,0.00018,0.00025,0.0,0.0,0.00051,0.00069,0.0,0.0,0.00013,0.00018,0.0,0.0
SARGID_clean_pacmof,16,51.739192263936296,1.81915,0.08902,0.19924,0.00517,80.04047,3.91693,5.58137,0.14484,180.89573,8.85246,12.6142,0.32734,80.10355,3.92001,8.77318,0.22766
SAPHUP_clean_pacmof,1,25.379992652075785,0.28445,0.01564,0.06351,0.00286,12.51565,0.68801,1.77913,0.08012,42.55261,2.33921,6.04895,0.27242,5.38203,0.29586,1.20164,0.05412
SANGUM_clean_pacmof,12,105.92656689454127,3.03517,0.03873,0.16237,0.00669,133.54393,1.70411,4.54863,0.1874,401.84588,5.12784,13.68724,0.5639,123.1159,1.57105,6.58634,0.27135
SAQSOU_clean_pacmof,4,38.03596510959486,0.89521,0.01898,0.13337,0.00282,39.38813,0.83505,3.73617,0.07889,114.16595,2.42037,10.82924,0.22867,28.93422,0.61342,4.31069,0.09102
SAQQEH_clean_pacmof,8,46.046877416219324,2.45224,0.06645,0.30178,0.00542,107.89572,2.92363,8.45384,0.1518,197.31853,5.3467,15.4603,0.27761,41.21737,1.11686,5.07229,0.09108
SAQZOB_clean_pacmof,8,71.76803966847466,2.35834,0.04349,0.18621,0.00993,103.76406,1.91344,5.21646,0.27811,222.64509,4.10564,11.19288,0.59673,119.42369,2.20221,9.4296,0.50273
SARHAW_clean_pacmof,16,45.75106298823296,1.63299,0.08248,0.20226,0.00163,71.84952,3.62882,5.66589,0.04558,162.79488,8.22209,12.83764,0.10326,23.96871,1.21056,2.96868,0.02388
SAQQIL_clean_pacmof,8,45.91627561265128,2.43467,0.07714,0.30047,0.0057,107.12257,3.39399,8.4172,0.1596,196.73741,6.23327,15.45872,0.29311,41.10355,1.30229,5.0727,0.09618
SARGUP_clean_pacmof,16,15.984131140672462,0.53859,0.01519,0.19094,0.00383,23.69716,0.66821,5.34893,0.10715,53.62429,1.51209,12.10409,0.24248,7.90528,0.22291,2.8026,0.05614
SAXLEK_clean_pacmof,27,3.856874429591453,0.04226,0.00048,0.06209,0.00165,1.85919,0.02122,1.73934,0.04616,4.01594,0.04584,3.75705,0.09971,0.90329,0.01031,1.32727,0.03522
SARNOQ_clean_pacmof,27,12.129918394926971,0.27455,0.00977,0.12826,0.00421,12.07973,0.42997,3.59289,0.11795,26.77509,0.95305,7.96375,0.26143,11.94281,0.4251,5.57914,0.18315
SARHEA_clean_pacmof,16,38.38162374001561,1.35959,0.04333,0.20073,0.00304,59.82035,1.90651,5.6231,0.08514,136.28402,4.34346,12.81068,0.19396,19.95583,0.63601,2.94626,0.04461
SAYTOD_clean_pacmof,12,4.968055555555555,0.03577,0.00067,0.0408,0.00063,1.57387,0.02948,1.14305,0.01775,4.16462,0.078,3.02464,0.04696,1.24175,0.02326,1.41646,0.02199
SARMII_clean_pacmof,8,854.2162225338943,2.14961,0.0143,0.01426,0.00244,94.58015,0.62939,0.3995,0.06837,330.33281,2.19823,1.39532,0.2388,131.66301,0.87616,0.87349,0.14949
SAYKIO_clean_pacmof,12,603.5845150774246,2.17823,0.04407,0.02045,0.00049,95.83958,1.93906,0.57298,0.01373,348.70021,7.05503,2.08471,0.04996,87.98104,1.78007,0.82614,0.0198
SARMEE_clean_pacmof,8,197.59091521768434,1.72462,0.02884,0.04946,0.00127,75.88122,1.26871,1.38564,0.03569,262.53832,4.38956,4.79411,0.12349,104.46573,1.74664,2.99615,0.07718
SEFSOM_clean_pacmof,18,20.861533536097326,0.68994,0.02223,0.18741,0.00348,30.35662,0.97818,5.2499,0.09762,79.48567,2.56125,13.74633,0.2556,22.06539,0.71101,5.99354,0.11145
SEFBOV_clean_pacmof,18,13.435739847518283,0.60954,0.01885,0.25708,0.00433,26.81885,0.82918,7.20175,0.12119,54.99678,1.70039,14.76846,0.24852,16.80672,0.51963,7.08851,0.11928
SATRIP_clean_pacmof,48,151.15978395409022,2.37063,0.10995,0.08887,0.00149,104.30501,4.83757,2.48957,0.04173,317.23244,14.71296,7.57176,0.12692,72.88866,3.38051,2.73245,0.0458
SARMOO_clean_pacmof,8,85.94349634303742,2.11512,0.04936,0.13946,0.00747,93.06291,2.17191,3.9067,0.20918,270.88709,6.32198,11.37161,0.60889,69.3456,1.61839,4.57221,0.24482
